CES-ID,MSW05_Binomial,TreeTipNamePartial,UphamTreeName.full,Suborder,White,White-tips,Black-tips,Contrasting,Tufts,Naked,Fluffy,Tail_length,Prehen-Bin,Fatty,Autotomy,Mean_Annual_Temp ,Noc,Di,Crep,SocialGrpSize,Litter_size,Hib,A,F,Q,T,shade_score,Openness-Score,Mass,PrecipVar,SnakeThreat,OwlThreat,RaptorThreatNonOwl
13776,Abrocoma bennettii,Abrocoma_bennettii,Abrocoma_bennettii_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,76,NA,0,0,10.62765042,1,0,0,2,4.86,NA,0,1,0,1,0.4,0.4,250,76.44213888,2.192307692,1.846153846,4.692307692
13777,Abrocoma boliviensis,Abrocoma_boliviensis,Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,81,NA,0,0,17.29763374,1,0,0,NA,NA,NA,0,1,0,1,0.6,0.45,158,72.41639351,66,6.25,14.5
13778,Abrocoma budini,Abrocoma_budini,Abrocoma_budini_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,69,NA,0,0,17.03589154,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.15,0.8,360.7,85.33955585,27,4.75,12.375
13779,Abrocoma cinerea,Abrocoma_cinerea,Abrocoma_cinerea_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,41,NA,0,0,8.960246487,1,0,0,2,2.19,NA,0,1,0,1,0.15,0.8,250,100.4873479,44.02608696,2.843478261,7.052173913
13780,Abrocoma famatina,Abrocoma_famatina,Abrocoma_famatina_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,65,NA,0,0,8.295702006,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.15,0.8,233.4,75.36243812,9.916666667,2.166666667,6.75
13781,Abrocoma shistacea,Abrocoma_shistacea,Abrocoma_shistacea_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,61,NA,0,0,10.20430235,1,0,0,2,NA,NA,0,0,0,1,0.15,0.8,276.3,68.64348518,7.555555556,2.555555556,8.111111111
13782,Abrocoma uspallata,Abrocoma_uspallata,Abrocoma_uspallata_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,78,NA,0,0,8.282500012,1,0,0,NA,NA,NA,0,0,0,1,0.4,0.633333333,245.8,68.62463555,9,3,9.25
13783,Abrocoma vaccarum,Abrocoma_vaccarum,Abrocoma_vaccarum_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,53,NA,0,0,-3.797222227,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.1,0.8,254.3,68.62463555,4.5,3,9.25
13784,Cuscomys ashaninka,Cuscomys_ashaninka,Cuscomys_ashaninka_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,1,0,1,0,0,0,76,NA,0,0,13.82115384,1,0,0,NA,1,NA,1,0,0,0,1,0.1,599.1,50.42393308,65.5,6,13.75
13785,Cuscomys oblativa,Cuscomys_oblativa,Cuscomys_oblativa_ABROCOMIDAE_RODENTIA,Hystricomorpha,0,1,0,1,0,0,0,NA,NA,0,0,19.69588817,1,0,0,NA,NA,NA,1,0,0,0,NA,NA,514.8,56.66094687,71.5,6,12.5
13786,Anomalurus beecrofti,Anomalurus_beecrofti,Anomalurus_beecrofti_ANOMALURIDAE_RODENTIA,Anomaluromorpha,0,0,1,1,0,0,0,75,NA,0,0,24.81487341,1,0,0,1,0.98,NA,1,0,0,0,0.675,0.275,389,56.86960563,57.61,5.632,16.064
13787,Anomalurus derbianus,Anomalurus_derbianus,Anomalurus_derbianus_ANOMALURIDAE_RODENTIA,Anomaluromorpha,0,0,0,0,0,0,0,83,NA,0,0,23.40033313,1,0,0,2,1,NA,1,0,0,0,0.8,0.1,650,69.76410438,50.04111245,6.469165659,22.25634825
13788,Anomalurus pelii,Anomalurus_pelii,Anomalurus_pelii_ANOMALURIDAE_RODENTIA,Anomaluromorpha,0,0,0,0,0,0,0,90,NA,0,0,25.94740186,1,0,0,2,2.5,NA,1,0,0,0,0.8,0.1,1770,61.76496743,47.5483871,5.35483871,18.12903226
13789,Anomalurus pusillus,Anomalurus_pusillus,Anomalurus_pusillus_ANOMALURIDAE_RODENTIA,Anomaluromorpha,0,0,0,0,0,0,0,71,NA,0,0,23.66382643,1,0,0,1,NA,NA,1,0,0,0,0.9,0.1,250,43.42651466,62.51162791,5.674418605,16.3875969
