"Table S12: Macroevolutionary correlates of interspecific variation in tail autotomy. Shown are the results of a Bayesian phylogenetic logistic regression, computed in MCMCglmm. Statistically significant coefficients are highlighted in grey. Note that Anomaluromorpha have 0 species with autotomy and Castorimorpha only 2, and thus are both omitted from analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,n = 1906,,,,,Myomorpha,n = 1313,,,,,Hystricomorpha,n = 200,,,,,Sciuromorpha,n = 293,,,,,,,,,,,,,,,
Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,,,,,,,,,,,
Tail length,-0.004,-1.307,1.449,0.936,,Tail length,-0.510,-2.305,1.143,0.524,,Tail length,0.913,-2.691,4.148,0.594,,Tail length,-0.017,-3.387,3.693,0.996,,,,,,,,,,,,
Terrestriality,1.284,-1.598,3.982,0.398,,Terrestriality,3.944,-1.001,9.148,0.118,,Terrestriality,-2.371,-8.024,3.327,0.446,,Terrestriality,1.042,-4.425,7.154,0.726,,,,,,,,,,,,
Arboreality,1.464,-1.143,3.707,0.220,,Arboreality,2.046,-1.049,4.507,0.166,,Arboreality,-3.524,-9.982,4.210,0.330,,Arboreality,1.840,-3.917,7.739,0.524,,,,,,,,,,,,
Diurnality,1.287,-1.851,4.653,0.412,,Diurnality,1.361,-1.744,5.263,0.418,,Diurnality,0.296,-6.265,7.721,0.972,,Diurnality,-0.111,-7.502,7.182,0.962,,,,,,,,,,,,
Habitat openness,1.182,0.209,2.175,0.008,,Habitat openness,1.854,0.716,3.289,0.002,,Habitat openness,0.099,-2.747,2.720,0.992,,Habitat openness,0.274,-2.802,3.098,0.888,,,,,,,,,,,,
Body size,-0.474,-1.954,0.882,0.510,,Body size,0.291,-0.947,1.689,0.622,,Body size,-0.958,-4.192,2.175,0.568,,Body size,0.146,-3.406,3.015,0.948,,,,,,,,,,,,
Random effects,,,,,,Random effects,,,,,,Random effects,,,,,,Random effects,,,,,,,,,,,,,,,,
Phylogeny,102.9,28.5,203.7,,,Phylogeny,80.3,16.2,162.2,,,Phylogeny,404.3,0.3,1187.0,,,Phylogeny,20.8,813.3,162.6,,,,,,,,,,,,,
Residuals,,,,,,Residuals,,,,,,Residuals,,,,,,Residuals,,,,,,,,,,,,,,,,
Residual,1,1,1,,,Residual,1,1,1,,,Residual,1,1,1,,,Residual,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
