"Table S4: Macroevolutionary correlates of interspecific variation in white tails. Shown are the results of a Bayesian phylogenetic logistic regression, computed in MCMCglmm. Statistically significant coefficients are highlighted in grey. Note that no Anomaluromorphs have white tails, and there was an insufficient sample size to run these models in the Scuriomorpha. Note also that the Castorimorpha do not contain any arboreal species or any social group sizes beyond ""1"" and ""2"".",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"With litter size as a fixed effect, and with social group size (SGS) as a categorical variable.",,All,n = 808,,,,,Myomorpha,n = 434,,,,,Hystricomorpha,n = 105,,,,,Castorimorpha,n = 73,,,
,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC
,,Litter size,0.611,-0.617,1.908,0.350,,Litter size,0.458,-1.117,2.323,0.608,,Litter size,0.573,-2.050,3.323,0.600,,Litter size,0.731,-2.842,4.338,0.680
,,Arboreality,-0.189,-3.812,3.479,0.948,,Arboreality,-1.485,-6.211,3.924,0.532,,Arboreality,0.697,-7.067,7.350,0.828,,Aquaticity,-0.461,*8.98068,7.012,0.912
,,Aquaticity,-4.041,-10.358,1.942,0.188,,Aquaticity,-3.466,-9.955,3.511,0.306,,Aquaticity,-0.545,-8.870,7.846,0.908,,Shade,0.069,-3.642,4.046,0.948
,,Shade,-1.210,-2.627,0.088,0.066,,Shade,-0.663,-2.749,1.313,0.492,,Shade,-1.248,-4.341,1.907,0.420,,SGS - 2,-0.631,-8.756,7.640,0.870
,,SGS - 2,0.809,-1.757,3.242,0.508,,SGS - 2,1.106,-3.072,4.897,0.536,,SGS - 2,2.420,-2.599,7.640,0.344,,Nocturnality,0.123,-7.394,8.093,0.970
,,SGS - 3,0.925,-1.513,3.929,0.490,,SGS - 3,0.562,-3.539,4.359,0.732,,SGS - 3,-1.085,-7.618,4.913,0.722,,Random effects,,,,
,,SGS - 4,-2.839,-9.477,3.250,0.366,,SGS - 4,-0.702,-9.273,6.477,0.894,,SGS - 4,-2.143,-8.800,6.163,0.554,,Phylogeny,692.6,5.3,2360.0,
,,SGS - 5,-2.799,-9.278,3.403,0.356,,SGS - 5,-0.891,-8.865,5.825,0.822,,SGS - 5,-1.589,-9.053,6.225,0.698,,Residuals,,,,
,,Nocturnality,-1.783,-5.032,1.449,0.232,,Nocturnality,0.102,-4.504,4.822,0.982,,Nocturnality,-3.077,-10.491,2.869,0.356,,Residual,1,1,1,
,,Random effects,,,,,,Random effects,,,,,,Random effects,,,,,,,,,,
,,Phylogeny,123.7,13.3,329.9,,,Phylogeny,193.0,23.0,494.5,,,Phylogeny,543.8,0.1,1987.0,,,,,,,
,,Residuals,,,,,,Residuals,,,,,,Residuals,,,,,,,,,,
